 Isaako Aaitui 4 0 91-81-0 NA NA NA NA NA NA
 Joe Abbey 18  91-81-0 NA 177 NA 0 NA 16.7
 Fay Abbott 57  91-81-0 NA NA NA NA NA NA
 Vince Abbott 23 3 91-81-0 NA NA NA NA NA NA
 Jared Abbrederis 21 1 91-81-0 NA 163 NA 0 NA 16.3
 Duke Abbruzzi 3  91-81-0 NA 147 NA 0 NA NA
 Mehdi Abdesmad 2 0 91-81-0 NA NA NA NA NA NA
 Karim Abdul-Jabbar 61 26 91-81-0 NA 3411 3.4 33 NA 600.9
 Isa Abdul-Quddus 89 15 91-81-0 NA 28 NA 0 4 NA
 Ameer Abdullah 3 - 91-81-0 NA 1 1.0 0 NA -0.1
 Hamza Abdullah 48 5 91-81-0 NA NA NA NA NA NA
 Husain Abdullah 97 21 91-81-0 NA 120 NA 2 6 NA
 Khalid Abdullah 16 1 91-81-0 NA NA NA NA NA NA
 Rabih Abdullah 83 3 91-81-0 NA 172 2.7 1 NA 34.7
 Rahim Abdullah 29 6 91-81-0 NA NA NA NA NA NA
 Fred Abel 3  91-81-0 NA NA NA NA NA NA
 Bud Abell 40 13 91-81-0 NA 14 NA 0 2 NA
 Walter Abercrombie 84 36 91-81-0 NA 3357 4.0 22 NA 629.8
 Cliff Aberson 10  91-81-0 NA 161 3.4 0 NA 11.5
 Victor Abiamiri 29 5 91-81-0 NA NA NA NA NA NA
 Oday Aboushi 34 11 91-81-0 NA NA NA NA NA NA
 Clifton Abraham 9 0 91-81-0 NA NA NA NA NA NA
 Donnie Abraham 132 63 91-81-0 NA 468 NA 3 38 NA
 Isaako Aaitui 4 0 91-81-0 NA NA NA NA NA NA
 Joe Abbey 18  91-81-0 NA 177 NA 0 NA 16.7
